alert_id,timestamp,machine_id,operator_id,task_id,alert_type,severity,source,message,recommended_action,resolved
AL000563,2025-02-21 07:20:00,M0015,OP0045,T00106,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000800,2025-02-21 08:00:00,M0009,OP0009,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000571,2025-02-22 06:01:00,M0022,OP0020,T00150,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000570,2025-02-22 06:01:00,M0022,OP0020,T00150,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000090,2025-02-22 06:44:00,M0022,OP0020,T00150,UNUSUAL_BEHAVIOR,LOW,safety_events,Harsh braking event detected.,Review braking technique with operator.,True
AL000701,2025-02-22 07:41:00,M0037,OP0025,T00823,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000508,2025-02-22 08:15:00,M0037,OP0025,T00823,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000509,2025-02-22 08:49:00,M0037,OP0025,T00823,UNUSUAL_BEHAVIOR,LOW,safety_events,Harsh braking event detected.,Review braking technique with operator.,True
AL000633,2025-02-22 09:15:00,M0019,OP0008,T00452,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000510,2025-02-22 09:17:00,M0037,OP0025,T00823,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001178,2025-02-22 09:58:12,M0037,OP0025,T00823,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000295,2025-02-22 11:14:00,M0019,OP0008,T00452,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000296,2025-02-22 11:28:00,M0019,OP0008,T00452,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL000881,2025-02-22 13:00:00,M0012,OP0019,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000982,2025-02-22 13:23:30,M0022,OP0020,T00150,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001074,2025-02-22 15:24:36,M0019,OP0008,T00452,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000600,2025-02-23 07:52:00,M0018,OP0007,T00308,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000795,2025-02-23 11:00:00,M0013,OP0045,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL001194,2025-02-23 13:00:00,M0030,,,ENVIRONMENTAL_RISK,HIGH,environment,"Hazardous environmental conditions (storm, visibility 222m).",Consider pausing operations until conditions improve.,True
AL000619,2025-02-24 06:51:00,M0042,OP0037,T00393,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000721,2025-02-24 07:00:00,M0031,OP0011,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000267,2025-02-24 07:31:00,M0042,OP0037,T00393,PROXIMITY,CRITICAL,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000489,2025-02-24 08:36:00,M0001,OP0055,T00803,PROXIMITY,MEDIUM,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000493,2025-02-24 08:53:00,M0017,OP0020,T00807,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL001172,2025-02-24 09:37:30,M0001,OP0055,T00803,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000178,2025-02-24 09:45:00,M0033,OP0004,T00274,UNUSUAL_BEHAVIOR,LOW,safety_events,Harsh braking event detected.,Review braking technique with operator.,True
AL001014,2025-02-24 10:04:06,M0033,OP0004,T00274,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000494,2025-02-24 10:47:00,M0017,OP0020,T00807,PROXIMITY,MEDIUM,safety_events,Unsafe reversing maneuver detected.,Reinforce spotter protocol for reversing operations.,True
AL000587,2025-02-24 13:19:00,M0015,OP0034,T00209,UNUSUAL_BEHAVIOR,HIGH,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000998,2025-02-24 15:21:00,M0015,OP0034,T00209,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000134,2025-02-24 15:32:00,M0015,OP0034,T00209,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000135,2025-02-24 17:06:00,M0015,OP0034,T00209,SEATBELT,HIGH,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL001263,2025-02-24 19:00:00,M0011,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 111m).",Consider pausing operations until conditions improve.,True
AL000744,2025-02-25 06:00:00,M0033,OP0019,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000834,2025-02-25 08:00:00,M0033,OP0009,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL001223,2025-02-25 13:00:00,M0036,,,ENVIRONMENTAL_RISK,HIGH,environment,"Hazardous environmental conditions (storm, visibility 52m).",Consider pausing operations until conditions improve.,True
AL000928,2025-02-26 10:00:00,M0029,OP0007,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000680,2025-02-26 11:12:00,M0025,OP0019,T00696,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000425,2025-02-26 12:16:00,M0025,OP0019,T00696,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000426,2025-02-26 13:00:00,M0025,OP0019,T00696,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000853,2025-02-26 14:00:00,M0040,OP0045,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000854,2025-02-26 14:00:00,M0040,OP0045,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000427,2025-02-26 14:53:00,M0025,OP0019,T00696,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL001147,2025-02-26 17:37:42,M0025,OP0019,T00696,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001079,2025-02-27 10:54:12,M0027,OP0044,T00479,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000208,2025-02-27 16:20:00,M0025,OP0026,T00317,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001036,2025-02-27 16:39:54,M0025,OP0026,T00317,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000720,2025-02-28 09:00:00,M0026,OP0034,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000565,2025-02-28 12:55:00,M0038,OP0007,T00112,UNUSUAL_BEHAVIOR,HIGH,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000067,2025-02-28 14:05:00,M0038,OP0007,T00112,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000068,2025-02-28 16:47:00,M0038,OP0007,T00112,PROXIMITY,MEDIUM,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000069,2025-02-28 16:54:00,M0038,OP0007,T00112,UNUSUAL_BEHAVIOR,LOW,safety_events,Harsh braking event detected.,Review braking technique with operator.,True
AL000967,2025-02-28 17:05:42,M0038,OP0007,T00112,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000738,2025-03-01 12:00:00,M0023,OP0011,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000739,2025-03-01 12:00:00,M0023,OP0011,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000167,2025-03-01 13:14:00,M0012,OP0036,T00260,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000940,2025-03-01 14:53:00,M0029,OP0012,T00013,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001281,2025-03-02 13:00:00,M0037,,,ENVIRONMENTAL_RISK,HIGH,environment,"Hazardous environmental conditions (storm, visibility 81m).",Consider pausing operations until conditions improve.,True
AL000616,2025-03-02 13:21:00,M0026,OP0015,T00380,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000260,2025-03-02 14:50:00,M0026,OP0015,T00380,SEATBELT,HIGH,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001053,2025-03-02 18:28:30,M0026,OP0015,T00380,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001195,2025-03-02 19:00:00,M0006,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 51m).",Consider pausing operations until conditions improve.,True
AL000467,2025-03-03 11:56:00,M0002,OP0042,T00761,PROXIMITY,LOW,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL001257,2025-03-03 13:00:00,M0011,,,ENVIRONMENTAL_RISK,HIGH,environment,"Hazardous environmental conditions (storm, visibility 89m).",Consider pausing operations until conditions improve.,True
AL000813,2025-03-03 15:00:00,M0012,OP0009,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL001098,2025-03-03 15:20:54,M0005,OP0029,T00540,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000604,2025-03-04 08:49:00,M0042,OP0008,T00324,UNUSUAL_BEHAVIOR,HIGH,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000217,2025-03-04 11:43:00,M0042,OP0008,T00324,PROXIMITY,LOW,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL001038,2025-03-04 16:30:42,M0042,OP0008,T00324,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001232,2025-03-04 19:00:00,M0033,,,ENVIRONMENTAL_RISK,HIGH,environment,"Hazardous environmental conditions (storm, visibility 353m).",Consider pausing operations until conditions improve.,True
AL001204,2025-03-05 06:00:00,M0025,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 98m).",Consider pausing operations until conditions improve.,True
AL000935,2025-03-06 06:00:00,M0011,OP0027,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000623,2025-03-07 06:22:00,M0042,OP0030,T00410,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000405,2025-03-07 08:13:00,M0034,OP0012,T00645,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000406,2025-03-07 09:17:00,M0034,OP0012,T00645,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000569,2025-03-07 09:30:00,M0027,OP0044,T00142,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000275,2025-03-07 09:47:00,M0042,OP0030,T00410,UNUSUAL_BEHAVIOR,HIGH,safety_events,Machine speed exceeded safe operating threshold.,Coach operator on speed limits for this machine type.,False
AL000407,2025-03-07 10:01:00,M0034,OP0012,T00645,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000276,2025-03-07 10:19:00,M0042,OP0030,T00410,PROXIMITY,LOW,safety_events,Unsafe reversing maneuver detected.,Reinforce spotter protocol for reversing operations.,True
AL000285,2025-03-07 10:59:00,M0033,OP0011,T00435,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000058,2025-03-07 11:02:00,M0003,OP0036,T00087,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL001062,2025-03-07 11:59:30,M0030,OP0049,T00404,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000286,2025-03-07 12:08:00,M0033,OP0011,T00435,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000287,2025-03-07 12:30:00,M0033,OP0011,T00435,PROXIMITY,LOW,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL000084,2025-03-07 12:58:00,M0027,OP0044,T00142,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001071,2025-03-07 20:12:54,M0033,OP0011,T00435,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001144,2025-03-07 23:08:12,M0029,OP0031,T00691,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000725,2025-03-08 07:00:00,M0032,OP0045,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL001211,2025-03-08 13:00:00,M0027,,,ENVIRONMENTAL_RISK,HIGH,environment,"Hazardous environmental conditions (storm, visibility 399m).",Consider pausing operations until conditions improve.,True
AL000884,2025-03-09 06:00:00,M0012,OP0041,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000655,2025-03-09 10:16:00,M0027,OP0042,T00570,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000656,2025-03-09 10:16:00,M0027,OP0042,T00570,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000992,2025-03-09 11:48:18,M0026,OP0044,T00192,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000691,2025-03-09 12:22:00,M0001,OP0005,T00788,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000342,2025-03-09 13:01:00,M0041,OP0007,T00534,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000343,2025-03-09 13:03:00,M0041,OP0007,T00534,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL000742,2025-03-09 15:00:00,M0039,OP0015,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000822,2025-03-10 07:00:00,M0018,OP0027,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000334,2025-03-10 08:02:00,M0015,OP0041,T00523,PROXIMITY,LOW,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,False
AL000048,2025-03-10 08:45:00,M0022,OP0042,T00060,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000335,2025-03-10 09:26:00,M0015,OP0041,T00523,PROXIMITY,MEDIUM,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,False
AL000336,2025-03-10 09:42:00,M0015,OP0041,T00523,PROXIMITY,LOW,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,True
AL000337,2025-03-10 10:24:00,M0015,OP0041,T00523,PROXIMITY,MEDIUM,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,True
AL001092,2025-03-10 11:01:36,M0015,OP0041,T00523,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000338,2025-03-10 13:46:00,M0017,OP0016,T00526,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001094,2025-03-10 15:00:12,M0017,OP0016,T00526,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000924,2025-03-11 08:00:00,M0017,OP0041,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL001159,2025-03-11 11:11:18,M0018,OP0026,T00742,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000741,2025-03-11 13:00:00,M0030,OP0009,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000805,2025-03-11 13:00:00,M0025,OP0027,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL001047,2025-03-11 19:29:18,M0027,OP0013,T00372,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000799,2025-03-12 14:00:00,M0004,OP0007,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000994,2025-03-12 17:34:12,M0006,OP0010,T00196,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001237,2025-03-14 13:00:00,M0034,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 93m).",Consider pausing operations until conditions improve.,True
AL000745,2025-03-14 14:00:00,M0004,OP0034,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000811,2025-03-15 13:00:00,M0005,OP0049,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000384,2025-03-16 12:06:00,M0027,OP0011,T00613,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000892,2025-03-16 14:00:00,M0038,OP0009,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000385,2025-03-16 14:26:00,M0027,OP0011,T00613,SEATBELT,HIGH,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001122,2025-03-16 21:28:00,M0027,OP0011,T00613,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000694,2025-03-17 14:34:00,M0023,OP0045,T00800,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL000981,2025-03-17 17:12:36,M0001,OP0026,T00149,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001011,2025-03-17 17:19:36,M0004,OP0035,T00253,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL000487,2025-03-17 17:35:00,M0023,OP0045,T00800,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL001081,2025-03-18 03:53:12,M0015,OP0024,T00481,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001225,2025-03-18 06:00:00,M0034,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 148m).",Consider pausing operations until conditions improve.,True
AL000669,2025-03-18 07:32:00,M0025,OP0004,T00647,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000292,2025-03-18 07:33:00,M0033,OP0011,T00449,UNUSUAL_BEHAVIOR,LOW,safety_events,Harsh braking event detected.,Review braking technique with operator.,True
AL000893,2025-03-18 09:00:00,M0038,OP0041,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL001133,2025-03-18 09:49:00,M0025,OP0004,T00647,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000293,2025-03-18 10:57:00,M0033,OP0011,T00449,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000585,2025-03-18 11:03:00,M0029,OP0014,T00193,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000526,2025-03-18 11:29:00,M0016,OP0008,T00847,PROXIMITY,HIGH,safety_events,Worker detected within the machine operating zone.,Pause operation and confirm clear zone before resuming.,False
AL000121,2025-03-18 13:57:00,M0029,OP0014,T00193,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000122,2025-03-18 14:33:00,M0029,OP0014,T00193,PROXIMITY,HIGH,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL000123,2025-03-18 14:43:00,M0029,OP0014,T00193,UNUSUAL_BEHAVIOR,MEDIUM,safety_events,Machine speed exceeded safe operating threshold.,Coach operator on speed limits for this machine type.,False
AL000124,2025-03-18 14:45:00,M0029,OP0014,T00193,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL001207,2025-03-18 19:00:00,M0006,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 148m).",Consider pausing operations until conditions improve.,False
AL001266,2025-03-18 19:00:00,M0018,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 50m).",Consider pausing operations until conditions improve.,True
AL000413,2025-03-19 16:12:00,M0025,OP0019,T00665,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000414,2025-03-19 17:05:00,M0025,OP0019,T00665,PROXIMITY,LOW,safety_events,Site vehicle detected within unsafe operating distance.,Coordinate with vehicle operator and increase clearance.,True
AL001297,2025-03-19 19:00:00,M0038,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 256m).",Consider pausing operations until conditions improve.,False
AL000072,2025-03-20 07:28:00,M0022,OP0034,T00121,SEATBELT,HIGH,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL000724,2025-03-20 08:00:00,M0031,OP0009,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000837,2025-03-20 11:00:00,M0034,OP0008,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000869,2025-03-20 15:00:00,M0028,OP0027,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000974,2025-03-20 15:42:36,M0014,OP0032,T00135,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000970,2025-03-20 18:06:18,M0022,OP0034,T00121,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000129,2025-03-22 09:34:00,M0014,OP0007,T00201,UNUSUAL_BEHAVIOR,LOW,safety_events,Harsh braking event detected.,Review braking technique with operator.,True
AL000624,2025-03-22 09:45:00,M0024,OP0016,T00421,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,True
AL000673,2025-03-22 10:15:00,M0027,OP0037,T00679,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000417,2025-03-22 11:05:00,M0027,OP0037,T00679,PROXIMITY,HIGH,safety_events,Obstacle detected within the machine operating zone.,Reassess path and clear or route around obstacle.,False
AL001066,2025-03-22 14:37:06,M0024,OP0016,T00421,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001139,2025-03-22 14:58:30,M0027,OP0037,T00679,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
